Province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alberta,1.38,1.07,0.96,1.8,0.65,1.16,0.57,0.97,1.31,1.46,0.52,1.68,1.81,1.6
British Columbia,1.11,0.6,0.84,0.83,0.64,1.67,1.25,1.41,1.03,1.07,0.95,0.81,1.78,1.37
Manitoba,2.64,3.33,4.98,3.33,4.96,4.38,4.21,4.17,4.74,3.57,3.89,3.26,2.82,2.93
New Brunswick,3.55,2.3,1.87,3.94,2.95,2.06,3.18,3.79,3.85,1.63,1.89,2.83,2.09,2.17
Newfoundland and Labrador,3.09,1.95,1.94,3.12,2.47,1.57,2.23,1.86,2.32,2.4,3.45,1.69,1.85,1.94
Nova Scotia,2.84,3.12,1.98,3.51,3.68,2.21,2.4,1.95,1.72,2.51,2.44,2.97,3.91,3.32
Ontario,0.59,1.67,1.51,1.28,1.07,1.28,1.8,1.84,0.85,0.8,1.51,1.8,1.61,0.85
Prince Edward Island,2.24,1.65,2.63,3.77,1.99,2.69,2.49,1.68,2.79,3.55,3.33,3.91,3.07,2.99
Quebec,1.07,1.09,1.09,0.76,0.63,1.77,1.09,1.06,0.5,0.76,1.35,1.36,1.61,1.73
Saskatchewan,3.53,2.52,4.33,3.3,4.2,3.4,4.57,4.41,2.9,4.82,4.65,4.3,2.93,3.03
